task_id,sprint,week,phase,track,module,task_name,description,assigned_to,complexity,priority,mandays,deliverable
FE-101,Sprint 1 (W1-2),Week 1,Phase 1: Foundation & RBAC,Frontend,UI Framework,"Design System, Shell Layout & Dynamic Role Switcher","Responsive layout, Sidebar, Header, Role Switcher (Admin/Coord/Teacher/Proctor/Student/Parent), core UI components",1x Frontend Engineer,Medium,P0 (Blocker),3,"Global Layout, Role Switcher & Atomic UI Kit"
BE-101,Sprint 1 (W1-2),Week 1,Phase 1: Foundation & RBAC,Backend,Database & Architecture,"PostgreSQL Schema, Models & Migration Pipeline","Database schema for Tenants, Academic Hierarchy, Users, Roles, Permissions, Accommodations, indexing and constraints",1x Backend Engineer,High,P0 (Blocker),3,PostgreSQL Schema & Prisma/ORM Models
FE-102,Sprint 1 (W1-2),Week 1,Phase 1: Foundation & RBAC,Frontend,Authentication,Multi-Role Login & ERP Seamless SSO Portal,"Email/Password & Student PIN login forms, Seamless ERP 1-Click SSO Launch receiver (JWT/LTI 1.3), role route guards, auto-refresh tokens",1x Frontend Engineer,Medium,P0 (Blocker),2,"Login Views, ERP SSO Receiver, Role Guards"
BE-102,Sprint 1 (W1-2),Week 1,Phase 1: Foundation & RBAC,Backend,Authentication,"JWT Auth, ERP SSO Handshake & JIT Provisioning","Endpoints for native login, ERP Signed Launch Token validator, Just-In-Time (JIT) student/staff auto-provisioning, and RBAC middleware",1x Backend Engineer,High,P0 (Blocker),3,"Auth REST APIs, ERP SSO Handshake & JIT Provisioner"
QA-101,Sprint 1 (W1-2),Week 1-2,Phase 1 & 2 QA,QA & Testing,Test Architecture,Test Environment Setup & Auth/Academic Test Cases,"Setup automated test framework (Playwright/Postman), write test suites for Auth, RBAC permissions, and Academic CRUD APIs",1x QA Engineer,Medium,P0 (Blocker),10,Automated Test Suite for Auth & Core APIs
FE-103,Sprint 1 (W1-2),Week 2,Phase 1: Foundation & RBAC,Frontend,Academic Master Data,Academic Hierarchy & User Roster Management UI,"CRUD screens for Academic Years, Classes, Divisions, Subjects, Chapters, and Student roster with Accommodations modal",1x Frontend Engineer,Medium,P0 (Blocker),2,Academic Structure & User Views
BE-103,Sprint 1 (W1-2),Week 2,Phase 1: Foundation & RBAC,Backend,Academic Services,Academic Hierarchy & Roster CRUD APIs,"REST endpoints for Academic structure, Teacher allocations, Student roster, Accommodations, and CSV bulk import",1x Backend Engineer,Medium,P0 (Blocker),2,Academic & User CRUD REST APIs
FE-201,Sprint 1 (W1-2),Week 2,Phase 2: Question Bank,Frontend,Question Bank,Question Bank Explorer & Multi-Type Authoring UI,"Question explorer with hierarchy filter, authoring for MCQ, One-word, Short/Long, Essay with KaTeX formulas and rubrics",1x Frontend Engineer,High,P0 (Blocker),3,Question Bank Explorer & Authoring Studio
BE-201,Sprint 1 (W1-2),Week 2,Phase 2: Question Bank,Backend,Question Bank,"Question Bank Storage, Search & Randomizer APIs","Question schemas, full-text search, subject/chapter filtering, bulk CSV question import, and dynamic random question pool selector",1x Backend Engineer,High,P0 (Blocker),2,Question Bank API Suite & Randomizer
FE-301,Sprint 2 (W3-4),Week 3-4,Phase 3: Exam Wizard,Frontend,Exam Creation,7-Step Exam Creation Wizard (Pool + PDF Upload),"Step 1 (Basic info), Step 2 (Recipients), Step 3 (Academic mapping), Step 4 (Source), Step 5 (Marks matrix & PDF setup), Step 6 (Controls), Step 7 (Publish)",1x Frontend Engineer,High,P0 (Blocker),6,Complete 7-Step Exam Creation Wizard
BE-301,Sprint 2 (W3-4),Week 3,Phase 3: Exam Wizard,Backend,Exam Engine,"Exam Engine Schemas, CRUD & Multi-Step APIs","Exams, Recipients, Questions, Sections, Security models, validation pipeline, and state machine (Draft -> Scheduled -> Active)",1x Backend Engineer,High,P0 (Blocker),4,Exam Configuration & Scheduler APIs
BE-302,Sprint 2 (W3-4),Week 4,Phase 3: Exam Wizard,Backend,PDF Paper Engine,PDF Question Paper Upload & Section Setup Service,"Multipart PDF upload to S3/GCS, section schema storage (Section A/B/C, max marks, choice rules), and PDF URL signing",1x Backend Engineer,Medium,P0 (Blocker),2,PDF Upload & Section Setup APIs
FE-401,Sprint 2 (W3-4),Week 4,Phase 4: Live Classes,Frontend,Virtual Classroom,Live Classroom UI & Spot Quiz Real-Time Modal,"Teacher video grid/Meet embed, attendance list, 1-click spot quiz trigger, live response bar chart, student quiz popup",1x Frontend Engineer,High,P1 (High),4,Live Classroom & Spot Quiz Overlay UI
